nazwa_cwiczenia,nazwa_angielska,zrodlo,kategoria,poziom_trudnosci,pozycja_wyjsciowa,potrzebny_sprzet,liczba_powtorzen,czas_trwania_sekund,strony_ciala,ruch_glowny,wspomagane_krzeslem,mozna_w_lozku,mozna_siedzac,wymaga_stania,wymaga_podlogi,zalecane_schorzenia,przeciwwskazania,cel_terapeutyczny,wplyw_na_rownowage,wplyw_na_sile,wplyw_na_elastycznosc,wplyw_na_kardio,wplyw_na_postawe,intensywnosc,uwagi_bezpieczenstwa,opis_wykonania
Uginanie kolan w łóżku (noga prosta),Bed Leg Lift,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,leżąca na plecach,łóżko,,,nogi (czworogłowy),unoszenie prostej nogi,nie,tak,nie,nie,tak,ograniczona mobilność; rekonwalescencja,,wzmocnienie ud,niski,wysoki,niski,niski,niski,bardzo niska,Kilka centymetrów w górę wystarczy,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: łóżko. Następnie wykonuj ruch główny: unoszenie prostej nogi. Zwróć uwagę na bezpieczeństwo: Kilka centymetrów w górę wystarczy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wiosłowanie z taśmą,Seated Row,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,siedząca na podłodze,taśma oporowa lub ręcznik,10 (1-2 serie),,"plecy, bicepsy",wiosłowanie z taśmą,nie,nie,nie,nie,tak,słabe plecy; zła postura,,wzmocnienie górnych pleców,niski,wysoki,niski,niski,wysoki,niska,Wolny ruch powrotny,"Przyjmij pozycję wyjściową: siedząca na podłodze. Przygotuj sprzęt: taśma oporowa lub ręcznik. Następnie wykonuj ruch główny: wiosłowanie z taśmą. Wykonaj około 10 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wolny ruch powrotny. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Energia ku niebu,Energy to the Sky,Best-Mobility-Exercises-for-Seniors.pdf,mobilność_oddech,łatwy,stojąca,brak,5-10,,,unoszenie ramion z wdechem,nie,nie,nie,tak,nie,ograniczona mobilność ramion,,ruchomość i ćwiczenie oddechu,niski,niski,wysoki,niski,niski,bardzo niska,Śledzić dłonie wzrokiem,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: unoszenie ramion z wdechem. Wykonaj około 5-10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Śledzić dłonie wzrokiem. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Spacer (z wariantami),Walking,Best-Mobility-Exercises-for-Seniors.pdf,kardio_mobilność,łatwy,stojąca,brak,,,nogi i całe ciało,marsz z wariantami tempa,nie,nie,nie,tak,nie,ogólna słaba kondycja,,kondycja i mobilność,niski,niski,niski,wysoki,niski,bardzo niska,Marsz w miejscu przy złej pogodzie,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: marsz z wariantami tempa. Zwróć uwagę na bezpieczeństwo: Marsz w miejscu przy złej pogodzie. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nóg na fotelu,Captain's Chair Lift,Best-Mobility-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło z solidnym siedziskiem,3-5,,"biodra, brzuch",przyciąganie kolan do klatki,tak,nie,tak,nie,nie,słaby brzuch; słabe biodra,,siła core i bioder,niski,wysoki,niski,niski,niski,niska,Nawet kilka centymetrów wystarczy,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło z solidnym siedziskiem. Następnie wykonuj ruch główny: przyciąganie kolan do klatki. Wykonaj około 3-5 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nawet kilka centymetrów wystarczy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kot i krowa,Cat and Cow,Best-Mobility-Exercises-for-Seniors.pdf,mobilność_postura,łatwy,klęcząca,brak,5-10,,,naprzemienne wyginanie kręgosłupa,nie,nie,nie,nie,tak,ból i sztywność pleców,,ruchomość kręgosłupa,niski,niski,wysoki,niski,wysoki,bardzo niska,Ruch jeden kręg na raz,"Przyjmij pozycję wyjściową: klęcząca. Następnie wykonuj ruch główny: naprzemienne wyginanie kręgosłupa. Wykonaj około 5-10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Ruch jeden kręg na raz. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Skłon w przód,Forward Back Bend,Back-Exercises-for-Elderly.pdf,elastyczność_plecy,łatwy,stojąca,brak,5-10,20-30,plecy i hamstring,skłon w przód z bioder,nie,nie,nie,tak,nie,napięcie pleców,,rozciągnięcie pleców i nóg,niski,niski,wysoki,niski,niski,niska,Wracać powoli żeby uniknąć zawrotów głowy,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: skłon w przód z bioder. Wykonaj około 5-10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 20-30 sekund. Zwróć uwagę na bezpieczeństwo: Wracać powoli żeby uniknąć zawrotów głowy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Skłon boczny w staniu,Standing Back Side Stretch,Back-Exercises-for-Elderly.pdf,elastyczność_plecy,łatwy,stojąca,brak,5-10 na stronę,10,"boki, plecy",skłon boczny z ręką wzdłuż nogi,nie,nie,nie,tak,nie,napięcie bocznych mięśni pleców,,ruchomość boczna kręgosłupa,niski,niski,wysoki,niski,niski,bardzo niska,Trzymać kolana proste,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: skłon boczny z ręką wzdłuż nogi. Wykonaj około 5-10 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 10 sekund. Zwróć uwagę na bezpieczeństwo: Trzymać kolana proste. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Skłon w tył w siadzie,Seated Back Bend,Back-Exercises-for-Elderly.pdf,elastyczność_plecy,łatwy,siedząca,krzesło,5-10,,klatka piersiowa i kręgosłup,wygięcie kręgosłupa w tył,tak,nie,tak,nie,nie,garb; ból górnych pleców,,rozciągnięcie klatki piersiowej i kręgosłupa,niski,niski,wysoki,niski,wysoki,niska,Nie pochylać od bioder; prowadzić głową,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: wygięcie kręgosłupa w tył. Wykonaj około 5-10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie pochylać od bioder; prowadzić głową. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rotacje ramionami,Shoulder Rotations,Back-Exercises-for-Elderly.pdf,siła_mobilność,łatwy,stojąca,hantle opcjonalnie,10-15 (2-3 serie),,"stożek rotatorów, barki",rotacja ramienia przy boku,nie,nie,nie,tak,nie,problemy z barkami; słabe stożek rotatorów,,stabilizacja i ruchomość barku,niski,wysoki,wysoki,niski,niski,niska,Łokieć przy boku przez cały czas,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: hantle opcjonalnie. Następnie wykonuj ruch główny: rotacja ramienia przy boku. Wykonaj około 10-15 (2-3 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Łokieć przy boku przez cały czas. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wiosłowanie w skłonie,Bent Shoulder Rows,Back-Exercises-for-Elderly.pdf,siła,łatwy,stojąca,hantle,8-10 (2-3 serie),,"górna część pleców, bicepsy",wiosłowanie w skłonie z ciężarkami,nie,nie,nie,tak,nie,słabe plecy; zła postura,,wzmocnienie górnych pleców,niski,wysoki,niski,niski,wysoki,niska,Tułów prawie równoległy do podłogi,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: hantle. Następnie wykonuj ruch główny: wiosłowanie w skłonie z ciężarkami. Wykonaj około 8-10 (2-3 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Tułów prawie równoległy do podłogi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Mostek plecy (tylny),Back Bridge,Back-Exercises-for-Elderly.pdf,siła_postura,łatwy,leżąca na plecach,brak,10 (2-3 serie),,pośladki i dolna część pleców,mostek z naciskiem na plecy,nie,tak,nie,nie,tak,ból dolnych pleców,,wzmocnienie dolnych pleców,niski,wysoki,niski,niski,wysoki,niska,Brzuch napięty; wolne kontrolowane ruchy,"Przyjmij pozycję wyjściową: leżąca na plecach. Następnie wykonuj ruch główny: mostek z naciskiem na plecy. Wykonaj około 10 (2-3 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Brzuch napięty; wolne kontrolowane ruchy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rolki ramion,Shoulder Rolls,Arm-Exercises-for-Seniors.pdf,mobilność_ramiona,łatwy,stojąca lub siedząca,brak,20 i odwrotnie,,,okrężne ruchy ramionami,nie,nie,tak,nie,nie,napięcie barków; zła postura,,rozluźnienie barków,niski,niski,wysoki,niski,wysoki,bardzo niska,Coraz większe kręgi,"Przyjmij pozycję wyjściową: stojąca lub siedząca. Następnie wykonuj ruch główny: okrężne ruchy ramionami. Wykonaj około 20 i odwrotnie powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Coraz większe kręgi. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ściskanie łopatek,Shoulder Blade Squeezes,Arm-Exercises-for-Seniors.pdf,postura,łatwy,stojąca,brak,10-20 (1-2 serie),do 5 sek,"łopatki, górna część pleców",ściskanie łopatek do siebie,nie,nie,tak,nie,nie,zła postura; garb,,poprawa postawy,niski,wysoki,niski,niski,wysoki,bardzo niska,Wyobrazić sobie trzymanie ołówka między łopatkami,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: ściskanie łopatek do siebie. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około do 5 sek sekund. Zwróć uwagę na bezpieczeństwo: Wyobrazić sobie trzymanie ołówka między łopatkami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie ramienia z obciążeniem,Shoulder Raise,Arm-Exercises-for-Seniors.pdf,siła,łatwy,stojąca,hantle,10 na rękę,,bark,odwodzenie ramienia,nie,nie,nie,tak,nie,słabe barki,,wzmocnienie barku,niski,wysoki,niski,niski,niski,niska,Wydech przy ruchu w górę,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: hantle. Następnie wykonuj ruch główny: odwodzenie ramienia. Wykonaj około 10 na rękę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wydech przy ruchu w górę. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wiosłowanie w pochyleniu,Bent Row,Arm-Exercises-for-Seniors.pdf,siła,średni,stojąca,hantle,10 (1-2 serie),,"plecy, bicepsy",wiosłowanie w pochyleniu tułowia,nie,nie,nie,tak,nie,słabe plecy,,wzmocnienie pleców i ramion,niski,wysoki,niski,niski,wysoki,niska,Łopatki do siebie przy ciągnięciu,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: hantle. Następnie wykonuj ruch główny: wiosłowanie w pochyleniu tułowia. Wykonaj około 10 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Łopatki do siebie przy ciągnięciu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Odbijanie tricepsa,Triceps Kickbacks,Arm-Exercises-for-Seniors.pdf,siła,łatwy,stojąca w skłonie,hantle + krzesło lub stół,10 na rękę,,tricepsy,prostowanie łokcia w tył,tak,nie,nie,tak,nie,słabe tricepsy,,wzmocnienie tricepsów,niski,wysoki,niski,niski,niski,niska,Pochylić od bioder nie od pleców,"Przyjmij pozycję wyjściową: stojąca w skłonie. Przygotuj sprzęt: hantle + krzesło lub stół. Następnie wykonuj ruch główny: prostowanie łokcia w tył. Wykonaj około 10 na rękę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Pochylić od bioder nie od pleców. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Prostowanie łokcia nad głową,Overhead Elbow Extension,Arm-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło + hantle,10 na rękę,,tricepsy,prostowanie łokcia nad głową,tak,nie,tak,nie,nie,słabe tricepsy,,wzmocnienie tricepsów,niski,wysoki,niski,niski,niski,niska,Plecy oparte o oparcie krzesła,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło + hantle. Następnie wykonuj ruch główny: prostowanie łokcia nad głową. Wykonaj około 10 na rękę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Plecy oparte o oparcie krzesła. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Uginanie bicepsa w siadzie,Seated Biceps Curls,Arm-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło bez podłokietników + hantle,10-20 (1-2 serie),,bicepsy,uginanie ramion,tak,nie,tak,nie,nie,słabe ramiona,,wzmocnienie bicepsów,niski,wysoki,niski,niski,niski,niska,Nadgarstki proste; tułów nieruchomy,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło bez podłokietników + hantle. Następnie wykonuj ruch główny: uginanie ramion. Wykonaj około 10-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nadgarstki proste; tułów nieruchomy. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Wyciskanie siedzące,Seated Overhead Press,Arm-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło + hantle,10 (1-2 serie),,barki,wyciskanie nad głowę,tak,nie,tak,nie,nie,słabe barki,,wzmocnienie barków,niski,wysoki,niski,niski,niski,niska,Tułów napięty,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło + hantle. Następnie wykonuj ruch główny: wyciskanie nad głowę. Wykonaj około 10 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Tułów napięty. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pompki przy ścianie (ramiona),Wall Pushups,Arm-Exercises-for-Seniors.pdf,siła,łatwy,stojąca,ściana,15-20 (1-2 serie),,"klatka piersiowa, tricepsy",odpychanie od ściany,nie,nie,nie,tak,nie,słabe ramiona,,wzmocnienie górnej części ciała,niski,wysoki,niski,niski,niski,niska,Wolno zwłaszcza w tył,"Przyjmij pozycję wyjściową: stojąca. Przygotuj sprzęt: ściana. Następnie wykonuj ruch główny: odpychanie od ściany. Wykonaj około 15-20 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Wolno zwłaszcza w tył. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Izometria siedząca,Seated Isometric Exercises,Arm-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło,,,ramiona i tułów,izometryczne napięcia ramion,tak,nie,tak,nie,nie,bardzo ograniczona mobilność,,siła izometryczna ramion,niski,wysoki,niski,niski,niski,bardzo niska,Bez ruchu stawów – bezpieczne dla bólów stawowych,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: izometryczne napięcia ramion. Zwróć uwagę na bezpieczeństwo: Bez ruchu stawów – bezpieczne dla bólów stawowych. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kolana wysoko,High Knees,Cardio-for-Seniors.pdf,kardio,średni,stojąca,brak,,,nogi i biodra,naprzemienne unoszenie kolan wysoko,nie,nie,nie,tak,nie,słaba kondycja,,kardio,niski,średni,niski,wysoki,niski,niska,Pompować ramionami,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: naprzemienne unoszenie kolan wysoko. Zwróć uwagę na bezpieczeństwo: Pompować ramionami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kopnięcia piętą,Butt Kicks,Cardio-for-Seniors.pdf,kardio,łatwy,stojąca,brak,,,uda tylne i nogi,przyciąganie pięty do pośladka,nie,nie,nie,tak,nie,słaba kondycja,,kardio,niski,średni,niski,wysoki,niski,niska,Pompować ramionami,"Przyjmij pozycję wyjściową: stojąca. Następnie wykonuj ruch główny: przyciąganie pięty do pośladka. Zwróć uwagę na bezpieczeństwo: Pompować ramionami. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Prostowanie kolana (siedząc),Knee Extension,Cardio-for-Seniors.pdf,siła_kardio,łatwy,siedząca,krzesło,8 na nogę,2 sek przerwa,czworogłowy,prostowanie kolana w siadzie,tak,nie,tak,nie,nie,słabe kolana; rekonwalescencja,,wzmocnienie czworogłowego,niski,wysoki,niski,niski,niski,niska,Palce skierowane w górę,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: prostowanie kolana w siadzie. Wykonaj około 8 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 2 sek przerwa sekund. Zwróć uwagę na bezpieczeństwo: Palce skierowane w górę. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Tulenie kolana do klatki,Single Knee Tucks,Core-Exercises-for-Seniors.pdf,siła_core,łatwy,siedząca,brak lub krzesło,10 na nogę,,"biodra, brzuch",przyciąganie kolana do klatki piersiowej,opcjonalnie,nie,tak,nie,nie,słaby brzuch,,siła bioder i brzucha,niski,wysoki,niski,niski,niski,niska,Opuszczać nogę powoli,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: brak lub krzesło. Następnie wykonuj ruch główny: przyciąganie kolana do klatki piersiowej. Wykonaj około 10 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Opuszczać nogę powoli. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rosyjskie skręty,Russian Twists,Core-Exercises-for-Seniors.pdf,siła_core,średni,siedząca na podłodze,brak,10,,brzuch,skręty tułowia w siadzie,nie,nie,nie,nie,tak,słaby core,ból dolnych pleców – ostrożność,wzmocnienie skośnych brzucha,niski,wysoki,niski,niski,wysoki,niska,Nogi pod kątem 90 stopni,"Przyjmij pozycję wyjściową: siedząca na podłodze. Następnie wykonuj ruch główny: skręty tułowia w siadzie. Wykonaj około 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nogi pod kątem 90 stopni. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Siedzące skoki z rozrzutem,Seated Jumping Jacks,Core-Exercises-for-Seniors.pdf,kardio_core,łatwy,siedząca,krzesło,10,,ramiona i nogi,naprzemienne rozszerzanie nóg i rąk,tak,nie,tak,nie,nie,ograniczona mobilność; słaba kondycja,,kardio i koordynacja,niski,niski,niski,wysoki,niski,niska,Alternatywa dla skaczących jacks,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło. Następnie wykonuj ruch główny: naprzemienne rozszerzanie nóg i rąk. Wykonaj około 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Alternatywa dla skaczących jacks. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Delikatny skręt,Gentle Twist,Core-Exercises-for-Seniors.pdf,elastyczność_core,łatwy,siedząca,brak,10,,talia i plecy,skręt z opuszczaniem ramion,nie,nie,tak,nie,nie,sztywność kręgosłupa,,ruchomość rotacyjna kręgosłupa,niski,niski,wysoki,niski,wysoki,bardzo niska,Skręcać tak daleko jak komfortowo,"Przyjmij pozycję wyjściową: siedząca. Następnie wykonuj ruch główny: skręt z opuszczaniem ramion. Wykonaj około 10 powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Skręcać tak daleko jak komfortowo. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Kręgi biodrami na piłce,Hip Circles,Ball-Exercises-for-Seniors.pdf,mobilność_core,łatwy,siedząca na piłce,piłka gimnastyczna,10-15 (w obu kierunkach),,"biodra, core",kręcenie biodrami,nie,nie,tak,nie,nie,sztywność bioder,,ruchomość bioder i mobilizacja kręgosłupa,niski,niski,wysoki,niski,wysoki,niska,Kolana pod kątem 90 stopni,"Przyjmij pozycję wyjściową: siedząca na piłce. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: kręcenie biodrami. Wykonaj około 10-15 (w obu kierunkach) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Kolana pod kątem 90 stopni. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Unoszenie nóg na piłce (siedząc),Leg Lifts on Ball,Ball-Exercises-for-Seniors.pdf,siła_równowaga,średni,siedząca na piłce,piłka gimnastyczna,10-15 na nogę,5 sek,"uda, biodra",unoszenie nogi z piłki,nie,nie,tak,nie,nie,słabe nogi,,siła nóg i równowaga,wysoki,wysoki,niski,niski,niski,niska,Stopy bliżej = trudniejsze ćwiczenie,"Przyjmij pozycję wyjściową: siedząca na piłce. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: unoszenie nogi z piłki. Wykonaj około 10-15 na nogę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Jeżeli ćwiczenie jest czasowe, wykonuj je przez około 5 sek sekund. Zwróć uwagę na bezpieczeństwo: Stopy bliżej = trudniejsze ćwiczenie. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Rozciąganie pleców na piłce,Back Extensions,Ball-Exercises-for-Seniors.pdf,siła_elastyczność,średni,leżąca na brzuchu na piłce,piłka gimnastyczna,10-15 (1-2 serie),,plecy,wciąganie górnej części ciała,nie,nie,nie,nie,tak,ból pleców,,wzmocnienie pleców i rozciągnięcie,niski,wysoki,wysoki,niski,wysoki,niska,Nie wyginać szyi; trzymać w linii z kręgosłupem,"Przyjmij pozycję wyjściową: leżąca na brzuchu na piłce. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: wciąganie górnej części ciała. Wykonaj około 10-15 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie wyginać szyi; trzymać w linii z kręgosłupem. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Pies myśliwski na piłce,Stability Ball Bird Dog,Ball-Exercises-for-Seniors.pdf,siła_równowaga,średni,leżąca na brzuchu na piłce,piłka gimnastyczna,10-15 na stronę,,"plecy, pośladki",unoszenie przeciwległej ręki i nogi,nie,nie,nie,nie,tak,słabe plecy,,stabilizacja i siła pleców,niski,wysoki,niski,niski,wysoki,niska,Napięcie brzucha utrzymuje balans,"Przyjmij pozycję wyjściową: leżąca na brzuchu na piłce. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: unoszenie przeciwległej ręki i nogi. Wykonaj około 10-15 na stronę powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Napięcie brzucha utrzymuje balans. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Mostek na piłce,Ball Bridge,Ball-Exercises-for-Seniors.pdf,siła_równowaga,średni,leżąca na plecach,piłka gimnastyczna,10-15 (1-2 serie),,pośladki i plecy,mostek z piętami na piłce,nie,nie,nie,nie,tak,ból dolnych pleców,,wzmocnienie dolnych pleców,niski,wysoki,niski,niski,wysoki,niska,Nie za wysoko – unikać bólu,"Przyjmij pozycję wyjściową: leżąca na plecach. Przygotuj sprzęt: piłka gimnastyczna. Następnie wykonuj ruch główny: mostek z piętami na piłce. Wykonaj około 10-15 (1-2 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie za wysoko – unikać bólu. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
Ściskanie ud (piłką),Thigh Squeeze,Ball-Exercises-for-Seniors.pdf,siła,łatwy,siedząca,krzesło + mała piłka,10-15 (2-3 serie),,uda wewnętrzne,ściskanie piłki udami,tak,nie,tak,nie,nie,słabe uda wewnętrzne,,wzmocnienie przywodzicieli,niski,wysoki,niski,niski,niski,bardzo niska,Nie ściskać za mocno,"Przyjmij pozycję wyjściową: siedząca. Przygotuj sprzęt: krzesło + mała piłka. Następnie wykonuj ruch główny: ściskanie piłki udami. Wykonaj około 10-15 (2-3 serie) powtórzeń lub utrzymuj ruch zgodnie z opisem ćwiczenia. Zwróć uwagę na bezpieczeństwo: Nie ściskać za mocno. Ruch wykonuj wolno, bez wstrzymywania oddechu; przerwij przy ostrym bólu, zawrotach głowy lub duszności."
